Title,Genre,Premiere,Runtime,IMDB Score,Language,Day Released
The Do-Over,Action comedy,5/27/2016,108,5.7,English,Friday
The Holiday Calendar,Romantic comedy,11/2/2018,95,5.7,English,Friday
The Woman in the Window,Psychological thriller,5/14/2021,100,5.7,English,Friday
The Wrong Missy,Comedy,5/13/2020,90,5.7,English,Wednesday
Velvet Buzzsaw,Thriller,2/1/2019,112,5.7,English,Friday
Yes Day,Comedy,3/12/2021,86,5.7,English,Friday
A California Christmas,Romantic comedy,12/14/2020,107,5.8,English,Monday
A Christmas Prince,Romantic comedy,11/17/2017,92,5.8,English,Friday
All Day and a Night,Drama,5/1/2020,121,5.8,English,Friday
American Son,Drama,11/1/2019,90,5.8,English,Friday
Barry,Biopic,12/16/2016,104,5.8,English,Friday
Candy Jar,Comedy,4/27/2018,92,5.8,English,Friday
Choked: Paisa Bolta Hai,Drama,6/5/2020,114,5.8,Hindi,Friday
Class of '83,Drama,8/21/2020,98,5.8,Hindi,Friday
Extinction,Science fiction/Thriller,7/27/2018,95,5.8,English,Friday
Happy Anniversary,Romantic comedy,3/30/2018,78,5.8,English,Friday
I Am All Girls,Thriller,5/14/2021,107,5.8,English,Friday
Let It Snow,Romantic comedy,11/8/2019,92,5.8,English,Friday
Mascots,Mockumentary,10/13/2016,95,5.8,English,Thursday
Operation Christmas Drop,Romantic comedy,11/5/2020,96,5.8,English,Thursday
Rajma Chawal,Comedy-drama,11/30/2018,118,5.8,Hindi,Friday
Rich in Love,Romantic comedy,4/30/2020,105,5.8,Portuguese,Thursday
Rising High,Satire,4/17/2020,94,5.8,German,Friday
Rodney King,One-man show,4/28/2017,52,5.8,English,Friday
Sierra Burgess Is a Loser,Romantic comedy-drama,9/7/2018,105,5.8,English,Friday
Small Crimes,Dark comedy,4/28/2017,95,5.8,English,Friday
Special Correspondents,Satire,4/29/2016,100,5.8,English,Friday
TAU,Science fiction/Thriller,6/29/2018,97,5.8,English,Friday
The After Party,Comedy,8/24/2018,89,5.8,English,Friday
The Babysitter: Killer Queen,Comedy/Horror,9/10/2020,102,5.8,English,Thursday
The Claus Family,Fantasy,12/7/2020,96,5.8,Dutch,Monday
The Kissing Booth 2,Romantic comedy,7/24/2020,131,5.8,English,Friday
The Perfect Date,Romantic comedy,4/12/2019,89,5.8,English,Friday
What We Wanted,Drama,11/11/2020,93,5.8,German,Wednesday
You've Got This,Romantic comedy,10/2/2020,111,5.8,Spanish,Friday
6 Balloons,Drama,4/6/2018,75,5.9,English,Friday
A Fall from Grace,Thriller,1/17/2020,120,5.9,English,Friday
Amateur,Sports-drama,4/6/2018,96,5.9,English,Friday
Army of the Dead,Zombie/Heist,5/21/2021,148,5.9,English,Friday
Cam,Psychological horror,11/16/2018,94,5.9,English,Friday
Earthquake Bird,Mystery,11/15/2019,107,5.9,English,Friday
